feature,importance,fold
WALLSMATERIAL_MODE_Wooden,0.017929198239382382,1
EMERGENCYSTATE_MODE_No,0.016347047226948946,1
EMERGENCYSTATE_MODE_Yes,0.005105321346992184,1
NAME_CONTRACT_TYPE,1.0912332415903698,2
FLAG_OWN_CAR,0.6650589729299512,2
FLAG_OWN_REALTY,0.07025604354250722,2
CNT_CHILDREN,0.11003380564675377,2
AMT_INCOME_TOTAL,0.998703726256387,2
AMT_CREDIT,1.7889707420699665,2
AMT_ANNUITY,2.6727222852740535,2
AMT_GOODS_PRICE,3.5765158464991886,2
REGION_POPULATION_RELATIVE,0.916884232433776,2
DAYS_BIRTH,4.135063384806585,2
DAYS_EMPLOYED,2.9401483506705572,2
DAYS_REGISTRATION,1.411716879677272,2
DAYS_ID_PUBLISH,1.9045065029347472,2
OWN_CAR_AGE,1.0224340009592,2
FLAG_MOBIL,0.0,2
FLAG_EMP_PHONE,0.034842193313362725,2
FLAG_WORK_PHONE,0.38509194241586375,2
FLAG_CONT_MOBILE,0.002168095397090476,2
FLAG_PHONE,0.14415884797201245,2
FLAG_EMAIL,0.04088517404806418,2
CNT_FAM_MEMBERS,0.2137364936884901,2
REGION_RATING_CLIENT,0.1829497307752646,2
REGION_RATING_CLIENT_W_CITY,0.5085676728354808,2
HOUR_APPR_PROCESS_START,0.6772394898529116,2
REG_REGION_NOT_LIVE_REGION,0.016480029524108937,2
REG_REGION_NOT_WORK_REGION,0.021729473673532087,2
LIVE_REGION_NOT_WORK_REGION,0.0320133773330021,2
REG_CITY_NOT_LIVE_CITY,0.29600188062030164,2
REG_CITY_NOT_WORK_CITY,0.015690803538973706,2
LIVE_CITY_NOT_WORK_CITY,0.06397299766451861,2
EXT_SOURCE_1,6.249406938087091,2
EXT_SOURCE_2,12.13717384321953,2
EXT_SOURCE_3,19.22231216332152,2
APARTMENTS_AVG,0.23474156818397546,2
BASEMENTAREA_AVG,0.17903567082559982,2
YEARS_BEGINEXPLUATATION_AVG,0.20423443018029067,2
YEARS_BUILD_AVG,0.1650623424220002,2
COMMONAREA_AVG,0.09209299818251644,2
ELEVATORS_AVG,0.07207822428748155,2
ENTRANCES_AVG,0.2253796236110589,2
FLOORSMAX_AVG,0.18924490333172797,2
FLOORSMIN_AVG,0.06527410263435307,2
LANDAREA_AVG,0.16507493984376886,2
LIVINGAPARTMENTS_AVG,0.12439277742573551,2
LIVINGAREA_AVG,0.13342636408916508,2
NONLIVINGAPARTMENTS_AVG,0.1330414179772075,2
NONLIVINGAREA_AVG,0.16725232760028666,2
APARTMENTS_MODE,0.24211301306506403,2
BASEMENTAREA_MODE,0.24016657119071255,2
YEARS_BEGINEXPLUATATION_MODE,0.3196409023201298,2
YEARS_BUILD_MODE,0.1172196594900614,2
COMMONAREA_MODE,0.1588540283252878,2
ELEVATORS_MODE,0.08146653063559622,2
ENTRANCES_MODE,0.11606638163977606,2
FLOORSMAX_MODE,0.1306480095774014,2
FLOORSMIN_MODE,0.03536138252769567,2
LANDAREA_MODE,0.15428396013098836,2
LIVINGAPARTMENTS_MODE,0.19568803795146045,2
LIVINGAREA_MODE,0.20750744739350396,2
NONLIVINGAPARTMENTS_MODE,0.1428916272185323,2
NONLIVINGAREA_MODE,0.2626107674179247,2
APARTMENTS_MEDI,0.16539866529437106,2
BASEMENTAREA_MEDI,0.14882203346936496,2
YEARS_BEGINEXPLUATATION_MEDI,0.16470767501855824,2
YEARS_BUILD_MEDI,0.08161998927034264,2
